restaurant_id,name,fsa_business_name,company_name,fsa_address,scraped_address,ch_address,fsa_vs_scraped,fsa_vs_ch,scraped_vs_ch,avg_similarity,category,hygiene_rating
246,A Taskinha,A Taskinha,A TASK INHA LTD,"53 Union Street, Plymouth, PL1 3LU","53 Union St, Stonehouse, Plymouth PL1 3LU, UK","53 Union Street, Plymouth, England, PL1 3LU",73.1%,82.6%,70.0%,75.2%,Good,5
279,Almanac Cafe,Almanac Cafe,N/A,"32-33 Batter Street, Plymouth, PL4 0EF","First Floor, 32 Batter St, Plymouth PL4 0EN, UK",,65.5%,0.0%,0.0%,65.5%,Poor,5
11,Armado Lounge,Armado Lounge,N/A,"20 The Barbican, Plymouth, PL1 2LS",,,0.0%,0.0%,0.0%,0.0%,Mismatch,5
130,Arribas Mexican Restaurant,Arribas Restaurant,N/A,"58 Notte Street, Plymouth, PL1 2AG","58 Notte Street, Plymouth, PL1 2AG",,100.0%,0.0%,0.0%,100.0%,Perfect,4
345,B-Bar,B Bar,N/A,"Barbican TheatreThai Noodle Bar, 95 Castle Street, Plymouth, PL1 2NJ","The Barbican Theatre, Castle St, Plymouth PL1 2NJ, UK",,73.1%,0.0%,0.0%,73.1%,Good,5
252,Bamo Restaurant,Bamo Restaurant,BAMO GRILL HOUSE LTD,"61 Cornwall Street, City Centre, Plymouth, PL1 1NS","61 Cornwall St, Plymouth PL1 1NS, UK","104 Cornwall Street, Plymouth, United Kingdom, PL1 1NF",74.6%,69.4%,63.5%,69.2%,Poor,5
310,Bar Rakuda,Rakuda Kitchen and Cocktail,N/A,"10-11 Quay Road, Plymouth, PL1 2JZ","11 Quay Rd, Plymouth PL1 2JZ, UK",,85.7%,0.0%,0.0%,85.7%,Good,5
6,Barbican Kitchen (Original),Barbican Kitchen Brasserie,BARBICAN KITCHEN LIMITED,"The Plymouth Gin Distillery, 60 Southside Street, Plymouth, PL1 2LA",60 Southside Street Plymouth PL1 2LQ,"60 Southside Street, Plymouth, PL1 2LQ",67.7%,67.7%,100.0%,78.5%,Good,5
125,Barbican Kitchen Bar,Barbican Kitchen Brasserie,BARBICAN KITCHEN LIMITED,"The Plymouth Gin Distillery, 60 Southside Street, Plymouth, PL1 2LA",60 Southside Street Plymouth PL1 2LQ,"60 Southside Street, Plymouth, PL1 2LQ",67.7%,67.7%,100.0%,78.5%,Good,5
250,Bentley’s Brasserie,50 Degrees North Brasserie and Bar,N/A,"The Copthorne Hotel, Armada Way, Plymouth, PL1 1AR","Armada Way, Plymouth PL1 1AR, UK",,61.0%,0.0%,0.0%,61.0%,Poor,5
71,Bistrot Pierre Plymouth,Bistrot Pierre,N/A,"New Cooperage, Royal William Yard, Plymouth, PL1 3RP",,,0.0%,0.0%,0.0%,0.0%,Mismatch,5
226,Bonne Santé restaurant & cocktail bar,Bonne Sante,LOST IN RIO RESTAURANT & COCKTAIL BAR LIMITED,"Customs House, Parade, Plymouth, PL1 2JP","Right side entrance, Custom house, The Barbican, Plymouth PL1 2JP, UK","Lost In Rio Restaurant And Cocktail Bar 8 The Parade Barbican, Plymouth, England, PL1 2JL",57.1%,40.0%,45.1%,47.4%,Mismatch,5
309,Boom Battle Bar Plymouth,Zizzi also trading at Coco Di Mama,N/A,"Unit 4 The Barcode, 11 Bretonside, Plymouth, PL4 0FE","Unit 6, The Barcode, Charles Cross Roundabout, Drake Circus, Plymouth PL4 0FE, UK",,57.9%,0.0%,0.0%,57.9%,Poor,5
27,Boston Tea Party Plymouth,Boston Tea Party,THE GREAT BRITISH TEA PARTY LIMITED,"82-84 Vauxhall Street, Plymouth, PL4 0EX",,"C/O Oakleys Accountants, 117 North Hill, Plymouth, Devon, England, PL4 8JY",0.0%,30.6%,0.0%,30.6%,Mismatch,5
330,BrewDog Plymouth,Nando's,BREWDOG PLC,"Unit 8 The Barcode, 11 Bretonside, PL4 0FE","Unit 10, the barcode, 11 Bretonside, Plymouth PL4 0FE, UK","Brewdog, Balmacassie Commercial Park, Ellon, Aberdeenshire, Scotland, AB41 8BX",92.9%,23.0%,22.2%,46.0%,Mismatch,5
92,Burger King Plymouth,Burger King,BURGERKING LIMITED,"97-99 New George Street, Plymouth, PL1 1RQ",,"2 Atlantic Square, 31 York Street, Glasgow, Scotland, G2 8AS",0.0%,30.4%,0.0%,30.4%,Mismatch,5
270,"Cafe Local, Plymouth Station",Cafe Local,GOSS (PLYMOUTH STATION) LIMITED,"Plymouth Railway Station, Unit 1North Road, North Road East, Plymouth, PL4 6AB","Plymouth Railway Station, Plymouth PL4 6AB, UK","55 Whitleigh Avenue, Plymouth, England, PL5 3AU",59.0%,31.0%,34.5%,41.5%,Mismatch,5
268,Cafe Plus,Cafe Plus,CAFE PLUS MUTLEY LTD,"64 Mutley Plain, Plymouth, PL4 6LF","64 Mutley Plain, Mutley, Plymouth PL4 6LF, UK","64 Mutley Plain, Plymouth, England, PL4 6LF",82.1%,85.2%,78.1%,81.8%,Good,4
98,Caffe Nero Plymouth,Caffe Nero,N/A,"23 Cornwall Street, City Centre, Plymouth, PL1 1NW",,,0.0%,0.0%,0.0%,0.0%,Mismatch,5
287,Café Bené,Port O Call,N/A,"23 Bishops Place, West Hoe Road, Plymouth, Plymouth, PL1 3BW","17 Bishops Place, Plymouth PL1 3BW, UK",,69.8%,0.0%,0.0%,69.8%,Poor,4
265,Café Olympus,Olympus,N/A,"Cambridge Road, PL2 1PU","Pantheon, Ford, Plymouth PL2 1PU, UK",,59.1%,0.0%,0.0%,59.1%,Poor,5
326,Capital DC Tiki Bar & Lounge,Capital DC,N/A,"33a Derrys Cross, Plymouth, Plymouth, PL1 2SW","3 Derrys Cross, Plymouth PL1 2SW, UK",,89.8%,0.0%,0.0%,89.8%,Good,5
278,Coffee Shark,Coffee Shark,N/A,"59A Hyde Park Road, Plymouth, PL3 4JN","59 Hyde Park Rd, Peverell, Plymouth PL3 4JN, UK",,78.0%,0.0%,0.0%,78.0%,Good,5
274,Coffee time,Coffee Time,COFFEE TIME LTD,"Library, Horn Cross Road, Plymouth, PL9 9BU","134 Cornwall St, Plymouth PL1 1NJ, UK","4 Cossack Street, Rochester, England, ME1 2EF",40.0%,29.9%,37.5%,35.8%,Mismatch,4
301,Coffee#1 Plymouth,Coffee#1,COFFEE #1 LTD,"25-27 Cornwall Street, City Centre, Plymouth, PL1 1NW","25-27 Cornwall St, Plymouth PL1 1NW, UK","9-15 Neal Street, London, WC2H 9QL",76.9%,36.9%,46.4%,53.4%,Poor,5
231,Cosmic Kitchen,Cosmic Kitchen,COSMIC KITCHEN LIMITED,"Sir John Hawkins Square, Palace Street, Plymouth, PL1 2AY","Palace St, Plymouth PL1 2AY, UK","St Thomas Hall, Palace Street, Plymouth, Devon, England, PL1 2AY",55.7%,55.2%,51.5%,54.1%,Poor,5
74,Costa Coffee Plymouth,Costa Coffee,COSTA COFFEE LIMITED,"2 Bravo Way, Plymouth, PL6 5GA",,"3-5 London Road, Rainham, Gillingham, Kent, England, ME8 7RG",0.0%,25.0%,0.0%,25.0%,Mismatch,5
37,Cosy Club Plymouth,Cosy Club Plymouth,N/A,"Unit 2 The Barcode, 11 Bretonside, Plymouth, PL4 0FE",,,0.0%,0.0%,0.0%,0.0%,Mismatch,5
245,Crown & Anchor,Capn Jaspers,N/A,"The Whitehouse, Whitehouse Pier, Barbican, Plymouth, PL1 2LS","10 The Barbican, Plymouth PL1 2LS, UK",,54.8%,0.0%,0.0%,54.8%,Poor,5
340,Dolphin Hotel,Armado Lounge,DOLPHIN HOTEL PROPERTY LIMITED,"20 The Barbican, Plymouth, PL1 2LS","14 The Barbican, Plymouth PL1 2LS, UK","5 Block 23 Melville Royal William Yard, Plymouth, England, PL1 3RP",85.7%,33.8%,30.0%,49.8%,Mismatch,5
307,Downtown Cafe,Downtown Coffee Shop,N/A,"Plymouth Market, Market Avenue, Plymouth, PL1 1PS","Pannier Market, The Market, Plymouth PL1 1PS, UK",,65.6%,0.0%,0.0%,65.6%,Poor,5
232,Dunya Restaurant Turkish Cuisine,Dunya Restaurants Ltd,DUNYA RESTAURANTS LTD,"10 Derrys Cross, Plymouth, PL1 2SH","10 Derrys Cross, Plymouth PL1 2SH, UK","Gnd Flr 10 Derrys Cross Plymouth, England, PL1 2SH",93.9%,74.2%,70.8%,79.6%,Good,5
298,Elvira’s Café,Elviras Cafe,N/A,"7 Admirals Hard, Plymouth, PL1 3RJ","7 Admiral's Hard, Stonehouse, Plymouth PL1 3RJ, UK",,75.4%,0.0%,0.0%,75.4%,Good,5
343,Fever Clubrooms - Plymouth,Grosvenor Casino,N/A,"15 Derrys Cross, Plymouth, PL1 2SW","33 Derrys Cross, Plymouth PL1 2SW, UK",,85.7%,0.0%,0.0%,85.7%,Good,4
242,Fig & Thyme Kitchen,Fig and Thyme Kitchen,FIG AND THYME LTD,"58 Southside Street, Plymouth, PL1 2LA","58 Southside St, Plymouth PL1 2LA, UK","58 Southside Street, Plymouth, Devon, United Kingdom, PL1 2LA",93.9%,68.7%,65.7%,76.1%,Good,5
194,Five Guys Plymouth,Five Guys,FIVE GUYS LTD,"Unit 9 The Barcode, 11 Bretonside, Plymouth, PL4 0FE",,"10 John Street, London, WC1N 2EB",0.0%,21.2%,0.0%,21.2%,Mismatch,5
3,Fletcher's Restaurant,Platters Restaurant,N/A,"12 The Barbican, Plymouth, PL1 2LS",,,0.0%,0.0%,0.0%,0.0%,Mismatch,4
45,Frankie & Benny's Plymouth,Frankie & Benny's,N/A,"Barbican Leisure Park, 5a Barbican Approach, Plymouth, PL4 0LG",,,0.0%,0.0%,0.0%,0.0%,Mismatch,5
281,Ground Coffee,Monty's Coffee Shop,N/A,"13 The Barbican, Plymouth, PL1 2LS","Barbican, Plymouth PL1 2LS, UK",,76.2%,0.0%,0.0%,76.2%,Good,2
120,Himalayan Spice,Himalayan Spice,HIMALAYAN SPICE PLYMOUTH LTD,"31 New Street, Plymouth, PL1 2NA",,"31 New Street, Plymouth, England, PL1 2NA",0.0%,81.0%,0.0%,81.0%,Good,2
