name,website_url,cuisine_type
"ASK Italian Plymouth",https://www.askitalian.co.uk/restaurant/plymouth/,Italian
"ASK Italian Plymouth",https://www.askitalian.co.uk/restaurants/plymouth,Italian
"All Bar One Plymouth",https://www.allbarone.co.uk/national-search/south-west/all-bar-one-plymouth,"Bar & Grill"
"Armado Lounge",https://thelounges.co.uk/armado/,"All-Day Cafe Bar"
"Arribas Mexican Restaurant",https://www.arribasmexican.co.uk/,Mexican
"Barbican Kitchen (Original)",https://barbicankitchen.com/,"Modern British"
"Barbican Kitchen Bar",https://www.barbicankitchen.com/,Contemporary
"Barbican Steakhouse",https://www.barbicansteakhouse.co.uk/,Steakhouse
"Barburrito Plymouth",https://www.barburrito.co.uk/,"Mexican Fast Food"
"Beefeater Plymouth",https://www.beefeater.co.uk/en-gb/locations/devon/plymstock,"British Grill"
"Bella Italia Plymouth",https://www.bellaitalia.co.uk/italian-restaurant/plymouth,Italian
"Bella Italia Plymouth",https://www.bellaitalia.co.uk/,Italian
"Bill's Plymouth",https://bills-website.co.uk/restaurants/plymouth/,"British Brasserie"
"Bill's Plymouth",https://bills-website.co.uk/restaurants/plymouth,"British Brasserie"
"Bistrot Pierre Plymouth",https://www.bistrotpierre.co.uk/restaurants/plymouth/,"French Bistro"
"Bistrot Pierre Plymouth",https://www.bistrotpierre.co.uk/,"French Bistro"
"Bodrum Blue Turkish Restaurant",https://www.bodrumblue.co.uk/,Turkish
"Boston Tea Party Plymouth",https://www.bostonteaparty.co.uk/,Cafe
"Boston Tea Party Plymouth",https://www.bostonteaparty.co.uk/cafes/plymouth,"Café & Brunch"
"Brewers Fayre Plymouth",https://www.brewersfayre.co.uk/en-gb/locations/devon/plymstock,"Family Pub & Grill"
"Burger King Plymouth",https://www.burgerking.co.uk/,"Fast Food"
"Byron Burger Plymouth",https://www.byronhamburgers.com/restaurants/plymouth,"American Burgers"
"Caffe Nero Plymouth",https://caffenero.com/uk/,"Coffee Shop"
"Café Rouge Plymouth",https://www.caferouge.com/plymouth/,"French Brasserie"
"Cap'n Jaspers",https://www.capnjaspers.co.uk/,Seafood
"Captain Jasper's",https://captainjaspers.co.uk/,"Seafood & Grill"
"Carluccio's Plymouth",https://www.carluccios.com/restaurants/plymouth/,Italian
"Changs Chinese Restaurant",https://www.tripadvisor.com,Chinese
"Chart Room at the Royal William Yard",https://www.chartroom-plymouth.co.uk/,British/Seafood
"Chimichanga Plymouth",https://www.chimichanga.co.uk/restaurants/plymouth,Mexican
"Chiquito Plymouth",https://www.chiquito.co.uk/restaurants/plymouth,Tex-Mex
"Chiquito Plymouth",https://www.chiquito.co.uk/,Tex-Mex
