restaurant_id,restaurant_name,restaurant_address,restaurant_postcode,match_score,match_reason,rates_propref,rates_account_holder,rates_address,rates_postcode,rates_rateable_value,rates_net_charge,rates_category,rates_vo_description
4,Rockfish Plymouth,"3 Rope Walk, Plymouth, PL4 0LB",PL4 0LB,82.98,similar_name(81%)+exact_postcode,130204125871660,ROCKFISH (PLYMOUTH) LIMITED,"THE DESIGN STUDIO, 3 ROPE WALK, PL4 0LB",PL4 0LB,55000,18315.0,Restaurants,RESTAURANT AND PREMISES
6,Barbican Kitchen (Original),60 Southside Street Plymouth PL1 2LQ,PL1 2LA,83.4,partial_name(73%)+exact_postcode+address_match(5_words),130202160874870,THE BARBICAN KITCHEN LTD,"60 SOUTHSIDE STREET, PLYMOUTH, PL1 2LA",PL1 2LA,36000,10778.4,Restaurants,RESTAURANT AND PREMISES
27,Boston Tea Party Plymouth,"Jamaica House, 82-84 Vauxhall St, Sutton Harbour, Plymouth PL4 0EX, UK",PL4 0EX,78.31,partial_name(78%)+exact_postcode,130202226873018,BOSTON TEA PARTY GROUP LTD,"82-84 VAUXHALL STREET, PLYMOUTH, PL4 0EX",PL4 0EX,46750,13996.95,Cafes,CAFE AND PREMISES
35,Greggs Plymouth,"U3A, Marsh Mills Retail Park, Plymouth PL6 8LX, UK",PL68LX,79.33,partial_name(72%)+exact_postcode,130204405727625,GREGGS PLC,"UNIT 1A 22, MARSH MILLS PARK, PLYMOUTH, PL6 8LX",PL6 8LX,61000,33855.0,Retail Warehouses and Foodstores,RETAIL WAREHOUSE AND PREMISES
46,Pizza Express Plymouth,"Pilgrims House, 17 Derry's Cross, Plymouth, PL1 2SW",PL1 2SW,83.53,similar_name(82%)+exact_postcode,130201873224124,PIZZA EXPRESS PLC,"17-19 DERRYS CROSS, PLYMOUTH, PL1 2SW",PL1 2SW,48000,23952.0,Restaurants,RESTAURANT AND PREMISES
65,Domino's Pizza Plymouth,"65-67 Exeter St, Plymouth PL4 0AH, UK",PL40AH,79.7,partial_name(71%)+exact_postcode,130201913064854,DOMINO'S PIZZA WEST COUNTRY,"65-67 EXETER STREET, PLYMOUTH, PL4 0AH",PL4 0AH,19750,5913.15,Takeaway Food Outlet (Predominantly Off Premises),SHOP AND PREMISES
80,Turtle Bay Plymouth,"5 St Andrews Cross Roundabout, Plymouth PL1 1AB, UK",PL1 1AB,78.21,partial_name(65%)+exact_postcode+address_match(7_words),130202162632497,TURTLE BAY HOSPITALITY LIMITED,"5 ST ANDREWS CROSS, PLYMOUTH, PL1 1AB",PL1 1AB,97500,54112.5,Restaurants,RESTAURANT AND PREMISES
125,Barbican Kitchen Bar,60 Southside Street Plymouth PL1 2LQ,PL1 2LA,85.3,partial_name(77%)+exact_postcode+address_match(5_words),130202160874870,THE BARBICAN KITCHEN LTD,"60 SOUTHSIDE STREET, PLYMOUTH, PL1 2LA",PL1 2LA,36000,10778.4,Restaurants,RESTAURANT AND PREMISES
130,Arribas Mexican Restaurant,"58 Notte Street, Plymouth, PL1 2AG",PL1 2AG,72.16,exact_postcode+address_match(5_words),130202085662882,BARBICAN T STEAKHOUSE LTD,"61-62 NOTTE STREET, PLYMOUTH, PL1 2AG",PL1 2AG,12000,0.0,Restaurants,RESTAURANT AND PREMISES
146,The Early Bird Cafe,"34 Mayflower St, Plymouth PL1 1QX, UK",PL1 1QX,85.59,similar_name(83%)+exact_postcode,130203674240387,THE EARLY BIRD CAFE (OTW) LTD,"34 MAYFLOWER STREET, PLYMOUTH, PL1 1QX",PL1 1QX,18500,5538.9,Restaurants,RESTAURANT AND PREMISES
205,Salumi Bar & Eatery,"18 Millbay Road, Millbay, Plymouth, PL1 3LH",PL1 3LH,76.3,exact_postcode+address_match(5_words),130204429019825,SALUMI LTD,"SALUMI, 18 MILLBAY ROAD, PL1 3LH",PL1 3LH,30000,8982.0,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
228,Lanterns Restaurant,"88 Cornwall St, Plymouth PL1 1LR, UK",PL1 1LR,72.86,exact_postcode,13020186123920A,LANTERNS KEBAB AND STEAK HOUSE,"88 CORNWALL STREET, PLYMOUTH, PL1 1LR",PL1 1LR,17750,5314.35,Restaurants,RESTAURANT AND PREMISES
229,Lost in Rio Restaurant & Cocktail Bar,"8 Parade, Plymouth PL1 2JL, UK",PL1 2JL,85.26,partial_name(77%)+exact_postcode+address_match(5_words),130202095668465,LOST IN RIO RESTAURANT &,"8 THE PARADE, PLYMOUTH, PL1 2JL",PL1 2JL,35700,10571.44,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
231,Cosmic Kitchen,"Palace St, Plymouth PL1 2AY, UK",PL1 2AY,80.32,partial_name(78%)+exact_postcode,13020209424231B,COSMIC KITCHEN LIMITED,"ST THOMAS HALL, PALACE STREET, PL1 2AY",PL1 2AY,16500,4940.1,Restaurants,"CAFE, BAR, BISTRO & PREMISES"
232,Dunya Restaurant Turkish Cuisine,"10 Derrys Cross, Plymouth PL1 2SH, UK",PL1 2SH,78.25,partial_name(68%)+exact_postcode,130201873026636,DUNYA RESTAURANTS LTD,"GND FLR, 10 DERRYS CROSS, PL1 2SH",PL1 2SH,26000,7784.4,Restaurants,RESTAURANT AND PREMISES
242,Fig & Thyme Kitchen,"58 Southside St, Plymouth PL1 2LA, UK",PL1 2LA,72.35,partial_name(65%)+exact_postcode,130202160645035,FIG AND THYME LTD,"GND FLR FRONT, 58 SOUTHSIDE STREET, PL1 2LA",PL1 2LA,17750,2034.32,Cafes,CAFE AND PREMISES
245,Crown & Anchor,"10 The Barbican, Plymouth PL1 2LS, UK",PL1 2LS,70.0,partial_name(60%)+exact_postcode,130204000238014,THE CROWN AND ANCHOR LIMITED,"THE CROWN AND ANCHOR, 10-11 THE BARBICAN, PL1 2LS",PL1 2LS,39800,11916.12,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
