restaurant_id,restaurant_name,restaurant_address,restaurant_postcode,match_score,match_reason,rates_propref,rates_account_holder,rates_address,rates_postcode,rates_rateable_value,rates_net_charge,rates_category,rates_vo_description
2,Knead Pizza Plymouth,Prysten House,PL1 2AE,75.0,exact_name(100%)+postcode_area,130201918667937,KNEAD PIZZA LTD,"THE GREEDY GOOSE, PRYSTEN HOUSE",PL1 2AB,14000,2732.94,Restaurants,RESTAURANT AND PREMISES
12,Àclèaf at Boringdon Hall,Boringdon Hall,PL7 4DP,69.79,exact_postcode,130203647097744,BORINGDON HALL PLYMPTON LTD,"BORINGDON HALL, BORINGDON HILL",PL7 4DP,365000,121545.0,Hotels(4Star and Above) and Chain Op.3 Star(National Scheme),HOTEL AND PREMISES
69,Nando's Barbican,Barbican Leisure Park,PL4 0LG,68.33,partial_name(67%)+exact_postcode,130204073678819,NANDO'S CHICKENLAND LIMITED,"14 BARBICAN APPROACH, PLYMOUTH",PL4 0LG,80000,44400.0,Drive-In Restaurants,RESTAURANT AND PREMISES
91,Nando's Plymouth,Barbican Leisure Park,PL4 0LG,60.0,exact_postcode,130204073678819,NANDO'S CHICKENLAND LIMITED,"14 BARBICAN APPROACH, PLYMOUTH",PL4 0LG,80000,44400.0,Drive-In Restaurants,RESTAURANT AND PREMISES
98,Caffe Nero Plymouth,"23 Cornwall St, Plymouth PL1 1NW, UK",PL1 1NW,62.78,exact_postcode,130201861238832,COFFEE #1 LIMITED,"25-27 CORNWALL STREET, PLYMOUTH",PL1 1NW,65000,36075.0,Cafes,CAFE AND PREMISES
119,Koishii Sushi Bar,"101 Mayflower St, Plymouth",PL1 1QL,70.9,partial_name(72%)+exact_postcode,13020367424048B,OISHI SUSHI RESTAURANT LIMITED,"49 MAYFLOWER STREET, PLYMOUTH",PL1 1QL,18250,5464.05,Restaurants,RESTAURANT AND PREMISES
141,The Bread & Roses,"62 Ebrington St, Plymouth PL4 9AF, UK",PL4 9AF,65.53,exact_postcode,13020189006452A,BREAD AND ROSES COMMUNITY ARTS,"BREAD AND ROSES, 62 EBRINGTON STREET",PL4 9AF,15800,4730.52,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
147,The Mannamead,"61-63 Mutley Plain, Mutley, Plymouth PL4 6JH, UK",PL4 6JH,64.29,exact_postcode+address_match(4_words),13020116875002A,J D WETHERSPOON PLC,"THE MANNAMEAD, 61-63 MUTLEY PLAIN",PL4 6JH,100000,55500.0,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
230,Foodie,Woodside Inn,PL4 8DQ,62.73,exact_postcode,13020159206565A,THE WOODSIDE PUB LIMITED,"WOODSIDE INN, 11-12 GASKING STREET",PL4 8DQ,12250,305.64,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
234,The Boathouse Plymouth,2-5 Commercial Wharf,PL1 2NX,60.15,exact_postcode+address_match(3_words),130202032873542,QUAYSIDE HOSPITALITY LIMITED,"2-4 COMMERCIAL WHARF, MADEIRA ROAD",PL1 2NX,45250,13547.85,Cafes,CAFE AND PREMISES
236,Zeus,"150-152 Cornwall St, Plymouth PL1 1NJ, UK",PL1 1NJ,61.67,exact_postcode+address_match(3_words),130201861872914,TEMPUS FUTURUM LTD,"150-152 CORNWALL STREET, PLYMOUTH",PL1 1NJ,16750,4149.35,Restaurants,RESTAURANT AND PREMISES
238,The Bottling Plant Ltd,"5 Southside St, Plymouth PL1 2LA, UK",PL1 3LA,60.0,exact_name(100%),130202160250001,THE BOTTLING PLANT LIMITED,"5 SOUTHSIDE STREET, PLYMOUTH",PL1 2LA,27500,8233.5,Restaurants,RESTAURANT AND PREMISES
239,NORA'S,"40 Drake Circus, North Hill, Plymouth PL4 8AB, UK",PL4 8AB,68.81,exact_postcode+address_match(3_words),130201881751357,NORA'S RESTAURANT LTD,"38-40 DRAKE CIRCUS, PLYMOUTH",PL4 8AB,14100,2956.26,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
243,Plates Fusion Pub,Morley Arms,PL9 7HP,64.14,exact_postcode,130202703765938,PLYMOUTH PUB GROUP LTD,"MORLEY ARMS INN, 4 BILLACOMBE ROAD",PL9 7HP,62000,10747.23,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
255,The Hook & Line,Unit A & B Slaughterhouse Unit,PL1 3GE,63.75,similar_name(88%)+postcode_area,130204709874794,THE HOOK AND LINE PLYMOUTH LTD,"UNITS A & B SLAUGHTER HOUSE, ROYAL WILLIAM YARD",PL1 3QQ,54000,17982.0,Restaurants,RESTAURANT AND PREMISES
272,Olive & Twist - Plymouth City Centre,"9 Old Town St, Plymouth PL1 1DD, UK",PL1 1DA,62.45,exact_postcode,130202090242236,PLYMOUTH RETAIL LIMITED,"11 OLD TOWN STREET, PLYMOUTH",PL1 1DA,21750,10853.25,Cafes,CAFE AND PREMISES
