restaurant_id,restaurant_name,restaurant_address,restaurant_postcode,match_score,match_reason,rates_propref,rates_account_holder,rates_address,rates_postcode,rates_rateable_value,rates_net_charge,rates_category,rates_vo_description
12,Àclèaf at Boringdon Hall,Boringdon Hall,PL7 4DP,69.79,exact_postcode,130203647097744,BORINGDON HALL PLYMPTON LTD,"BORINGDON HALL, BORINGDON HILL",PL7 4DP,365000,121545.0,Hotels(4Star and Above) and Chain Op.3 Star(National Scheme),HOTEL AND PREMISES
69,Nando's Barbican,Barbican Leisure Park,PL4 0LG,68.33,partial_name(67%)+exact_postcode,130204073678819,NANDO'S CHICKENLAND LIMITED,"14 BARBICAN APPROACH, PLYMOUTH",PL4 0LG,80000,44400.0,Drive-In Restaurants,RESTAURANT AND PREMISES
91,Nando's Plymouth,Barbican Leisure Park,PL4 0LG,60.0,exact_postcode,130204073678819,NANDO'S CHICKENLAND LIMITED,"14 BARBICAN APPROACH, PLYMOUTH",PL4 0LG,80000,44400.0,Drive-In Restaurants,RESTAURANT AND PREMISES
141,The Bread & Roses,"62 Ebrington St, Plymouth PL4 9AF, UK",PL4 9AF,65.53,exact_postcode,13020189006452A,BREAD AND ROSES COMMUNITY ARTS,"BREAD AND ROSES, 62 EBRINGTON STREET",PL4 9AF,15800,4730.52,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
147,The Mannamead,"61-63 Mutley Plain, Mutley, Plymouth PL4 6JH, UK",PL4 6JH,64.29,exact_postcode+address_match(4_words),13020116875002A,J D WETHERSPOON PLC,"THE MANNAMEAD, 61-63 MUTLEY PLAIN",PL4 6JH,100000,55500.0,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
239,NORA'S,"40 Drake Circus, North Hill, Plymouth PL4 8AB, UK",PL4 8AB,68.81,exact_postcode+address_match(3_words),130201881751357,NORA'S RESTAURANT LTD,"38-40 DRAKE CIRCUS, PLYMOUTH",PL4 8AB,14100,2956.26,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
243,Plates Fusion Pub,Morley Arms,PL9 7HP,64.14,exact_postcode,130202703765938,PLYMOUTH PUB GROUP LTD,"MORLEY ARMS INN, 4 BILLACOMBE ROAD",PL9 7HP,62000,10747.23,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
255,The Hook & Line,Unit A & B Slaughterhouse Unit,PL1 3GE,63.75,similar_name(88%)+postcode_area,130204709874794,THE HOOK AND LINE PLYMOUTH LTD,"UNITS A & B SLAUGHTER HOUSE, ROYAL WILLIAM YARD",PL1 3QQ,54000,17982.0,Restaurants,RESTAURANT AND PREMISES
276,Cafe and Bistro Tio Leo,The West Hoe,PL1 3BW,68.21,exact_postcode,130202234871189,BISTRO UNCLE LEO LIMITED,"17 BISHOPS PLACE, WEST HOE ROAD",PL1 3BW,8100,0.0,Cafes,CAFE AND PREMISES
313,Old Town Tiki Bar,"1 Old Town St, Plymouth PL1 1DA, UK",PL1 1DA,65.83,exact_postcode+address_match(3_words),13020209024217B,KJA BAR GROUP LTD,"1 OLD TOWN STREET, PLYMOUTH",PL1 1DA,32250,8015.51,Cafes,CAFE AND PREMISES
318,Brass Monkey,"12-14 Royal Parade, Plymouth PL1 1DS, UK",PL1 1DS,63.33,exact_postcode+address_match(4_words),130202146671576,BARLEY PUB COMPANY LIMITED,"12-14 ROYAL PARADE, PLYMOUTH",PL1 1DS,93750,52031.25,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
329,The Navy Inn,"34 Southside St, Plymouth PL1 2LE, UK",PL1 2LE,60.0,exact_postcode,130202160243686,FUSILIER INNS LIMITED,"THE NAVY INN, 34 SOUTHSIDE STREET",PL1 2LE,80000,26640.0,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
334,The Walrus Pub,The Walrus,PL1 2RH,64.03,exact_postcode,13020208502024A,WALRUSPUBPLYMOUTH LTD,"THE WALRUS, 201 NOTTE STREET",PL1 2RH,13000,1297.4,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
336,Spinners Plymouth,Unit 17 The Barcode,PL4 0FE,60.0,exact_postcode,130204007876977,LOUNGERS LIMITED,"UNIT 3 11 BRETONSIDE, PLYMOUTH",PL4 0FE,137000,76035.0,Drive-In Restaurants,RESTAURANT AND PREMISES
359,Golden Hind,"260 Mannamead Rd, Plymouth PL3 5RJ, UK",PL3 5RJ,67.27,exact_postcode,130201110282002,GREENE KING PLC,"THE GOLDEN HIND, 260 MANNAMEAD ROAD",PL3 5RJ,25800,12874.2,Public Houses/Pub Restaurants (National Scheme),PUBLIC HOUSE AND PREMISES
