restaurant_id,restaurant_name,restaurant_address,company_number,company_name,company_status,company_type,incorporation_date,registered_address,sic_codes,confidence,match_reason
246,A Taskinha,"53 Union St, Stonehouse, Plymouth PL1 3LU, UK",14922946,A TASK INHA LTD,active,ltd,2023-06-08,"53 Union Street, Plymouth, England, PL1 3LU",,111.66666666666666,"exact_name, postcode_match, plymouth_area, active"
349,Admiral MacBride,"1 The Barbican, Plymouth PL1 2LR, UK",06456252,ADMIRAL MACBRIDE LIMITED,dissolved,ltd,2007-12-18,"LAMEYS, Envoy House Longbridge Road, Plymouth, Devon, PL6 8LU",,75.0,"exact_name, postcode_nearby, plymouth_area, status_dissolved"
279,Almanac Cafe,"First Floor, 32 Batter St, Plymouth PL4 0EN, UK",14709268,ALMANAC CAFE LIMITED,dissolved,ltd,2023-03-06,"32 Batter Street, Plymouth, England, PL4 0EN",,71.57894736842104,"partial_name, postcode_match, plymouth_area, status_dissolved"
130,Arribas Mexican Restaurant,"58 -59 Notte St, Plymouth PL1 2AG, UK",05054971,ARRIBAS MEXICAN RESTAURANT LIMITED,dissolved,ltd,2004-02-25,"58 Notte Street, Barbican, Plymouth, Devon, PL1 2AG",,71.21951219512195,"partial_name, postcode_match, plymouth_area, status_dissolved"
252,Bamo Restaurant,"61 Cornwall St, Plymouth PL1 1NS, UK",16639555,BAMO GRILL HOUSE LTD,active,ltd,2025-08-09,"104 Cornwall Street, Plymouth, United Kingdom, PL1 1NF",,73.0,"postcode_match, plymouth_area, active"
6,Barbican Kitchen (Original),"Black Friars Distillery, 60 Southside St, Plymouth PL1 2LQ, UK",06925358,BARBICAN KITCHEN LIMITED,active,ltd,2009-06-05,"60 Southside Street, Plymouth, PL1 2LQ",,99.6341463414634,"partial_name, postcode_match, plymouth_area, active"
125,Barbican Kitchen Bar,"Black Friars Distillery, 60 Southside St, Plymouth PL1 2LQ, UK",06925358,BARBICAN KITCHEN LIMITED,active,ltd,2009-06-05,"60 Southside Street, Plymouth, PL1 2LQ",,115.0,"exact_name, postcode_match, plymouth_area, active"
155,Bella Italia Plymouth,"40 Southside St, Plymouth PL1 2LE, UK",12038091,BELLA ITALIA LTD,active,ltd,2019-06-07,"Bella Italian, 48 Berry Lane Longridge, Preston, Lancashire, United Kingdom, PR3 3JP",,75.0,"exact_name, active"
290,Black Cat Surf Club,"31 The Broadway, Plymstock, Plymouth PL9 7AG, UK",16026981,BLACK CAT SURF CLUB LTD,active,ltd,2024-10-18,"7 Parade The Barbican, Plymouth, England, PL1 2JL",,100.0,"exact_name, postcode_nearby, plymouth_area, active"
226,Bonne Santé restaurant & cocktail bar,"Right side entrance, Custom house, The Barbican, Plymouth PL1 2JP, UK",15991083,LOST IN RIO RESTAURANT & COCKTAIL BAR LIMITED,active,ltd,2024-10-01,"Lost In Rio Restaurant And Cocktail Bar 8 The Parade Barbican, Plymouth, England, PL1 2JL",,95.0,"partial_name, postcode_match, plymouth_area, active"
361,Boringdon Arms,"Boringdon Terrace, Turnchapel, Plymouth PL9 9TQ, UK",05339334,BORINGDON PLASTICS LIMITED,active,ltd,2005-01-21,"75 Mutley Plain, Plymouth, Devon, England, PL4 6JJ",,82.5,"partial_name, postcode_nearby, plymouth_area, active"
27,Boston Tea Party Plymouth,"Jamaica House, 82-84 Vauxhall St, Sutton Harbour, Plymouth PL4 0EX, UK",09263393,THE GREAT BRITISH TEA PARTY LIMITED,active,ltd,2014-10-14,"C/O Oakleys Accountants, 117 North Hill, Plymouth, Devon, England, PL4 8JY",,84.06976744186046,"postcode_match, plymouth_area, active"
318,Brass Monkey,"12-14 Royal Parade, Plymouth PL1 1DS, UK",04413113,BRASS MONKEYS LIMITED,active,ltd,2002-04-10,"11 Emson Close, Saffron Walden, England, CB10 1HL",,72.2,"exact_name, active"
330,BrewDog Plymouth,"Unit 10, the barcode, 11 Bretonside, Plymouth PL4 0FE, UK",SC311560,BREWDOG PLC,active,plc,2006-11-07,"Brewdog, Balmacassie Commercial Park, Ellon, Aberdeenshire, Scotland, AB41 8BX",,75.0,"exact_name, active"
89,Brewers Fayre Plymouth,"300 Plymouth Rd, Crabtree, Plymouth PL3 6RW, UK",08965085,FLOWER FAYRE (PLYMOUTH) LIMITED,active,ltd,2014-03-28,"57 Devonport Road, Stoke, Plymouth, Devon, PL3 4DL",,82.05882352941177,"postcode_match, plymouth_area, active"
92,Burger King Plymouth,"97-99 New George St, Plymouth PL1 1RQ, UK",SC031456,BURGERKING LIMITED,active,ltd,1956-04-12,"2 Atlantic Square, 31 York Street, Glasgow, Scotland, G2 8AS",,71.66666666666666,"exact_name, active"
270,"Cafe Local, Plymouth Station","Plymouth Railway Station, Plymouth PL4 6AB, UK",08313022,GOSS (PLYMOUTH STATION) LIMITED,active,ltd,2012-11-29,"55 Whitleigh Avenue, Plymouth, England, PL5 3AU",,82.5,"partial_name, postcode_nearby, plymouth_area, active"
268,Cafe Plus,"64 Mutley Plain, Mutley, Plymouth PL4 6LF, UK",14723946,CAFE PLUS MUTLEY LTD,active,ltd,2023-03-13,"64 Mutley Plain, Plymouth, England, PL4 6LF",,95.4,"partial_name, postcode_match, plymouth_area, active"
261,Café Momus,"14-17 Manor St, Stonehouse, Plymouth PL1 1TL, UK",16643997,CAFE MOMUS LTD,active,ltd,2025-08-12,"14-17 Manor Street, Ground Floor Front, Plymouth, Devon, United Kingdom, PL1 1TL",,108.0,"similar_name, postcode_match, plymouth_area, active"
274,Coffee time,"134 Cornwall St, Plymouth PL1 1NJ, UK",14377469,COFFEE TIME LTD,active,ltd,2022-09-26,"4 Cossack Street, Rochester, England, ME1 2EF",,75.0,"exact_name, active"
301,Coffee#1 Plymouth,"25-27 Cornwall St, Plymouth PL1 1NW, UK",04027169,COFFEE #1 LTD,active,ltd,2000-07-05,"9-15 Neal Street, London, WC2H 9QL",,70.33333333333333,"similar_name, active"
231,Cosmic Kitchen,"Palace St, Plymouth PL1 2AY, UK",12481242,COSMIC KITCHEN LIMITED,active,ltd,2020-02-25,"St Thomas Hall, Palace Street, Plymouth, Devon, England, PL1 2AY",,115.0,"exact_name, postcode_match, plymouth_area, active"
