restaurant_id,restaurant_name,restaurant_address,company_number,company_name,company_status,company_type,incorporation_date,registered_address,sic_codes,confidence,match_reason
47,Byron Burger Plymouth,"116-117 New George St, Plymouth PL1 1RZ, UK",SC147384,BYRON LIMITED,active,ltd,1993-11-08,"1 George Square, Glasgow, United Kingdom, G2 1AL",,46.1764705882353,active
287,Café Bené,"17 Bishops Place, Plymouth PL1 3BW, UK",NI684412,AL’S CAFÉ LTD,active,ltd,2021-12-13,"171 Shankill Road, Belfast, United Kingdom, BT13 1FP",,37.94117647058823,active
326,Capital DC Tiki Bar & Lounge,"3 Derrys Cross, Plymouth PL1 2SW, UK",08681879,TIKI BAR & DINER LTD,dissolved,ltd,2013-09-09,"8 Drake Circus, Plymouth, England, PL4 8AQ",,46.363636363636374,"postcode_nearby, plymouth_area, status_dissolved"
278,Coffee Shark,"59 Hyde Park Rd, Peverell, Plymouth PL3 4JN, UK",16661364,ARROW SHARK LTD,active,ltd,2025-08-20,"959 Stockport Road, Manchester, England, M19 3NP",,47.608695652173914,"partial_name, active"
62,Côte Brasserie Plymouth,"19-21 Cathedral Yard, City Centre, Exeter EX1 1HB, UK",11244613,CÔTE D’AZUR LIMITED,active,ltd,2018-03-09,"11 Lock Mead, Maidenhead, England, SL6 8HF",,40.0,active
343,Fever Clubrooms - Plymouth,"33 Derrys Cross, Plymouth PL1 2SW, UK",08292714,BAR FEVER (AYLESBURY) LTD,active,ltd,2012-11-14,"3 Monkspath Hall Road, Solihull, United Kingdom, B90 4SJ",,42.05882352941177,active
41,Jacka Bakery,"38 Southside St, Plymouth PL1 2LE, UK",05763906,A JACKAMAN CARPENTRY LIMITED,active,ltd,2006-03-31,"82 Newbury Road, Ipswich, Suffolk, IP4 5EZ",,48.75,"partial_name, active"
171,Kuku Indian Restaurant,"19 Princess St, Plymouth PL1 2EU, UK",15182868,KUKUA LTD,active,ltd,2023-10-03,"39 Castlebar Road, London, United Kingdom, W5 2DJ",,48.75,"partial_name, active"
19,Las Iguanas Plymouth,"11 Bretonside, Plymouth PL4 0FE, UK",07339282,LASCELLES PLYMOUTH LIMITED,dissolved,ltd,2010-08-09,"2a Mutley Plain, Plymouth, Devon, PL4 6LA",,44.13793103448276,"postcode_match, plymouth_area, status_dissolved"
356,Lockyers Quay Cookhouse + Pub,"1 Lockyers Quay, Plymouth PL4 0DX, UK",NI735227,THE ARTISAN COOKHOUSE LTD,active,ltd,2025-11-07,"4 Kildare Street, Strangford, Downpatrick, Northern Ireland, BT30 7LJ",,49.54545454545455,"partial_name, active"
222,Ocean View at The Dome,"Hoe Rd, Plymouth PL1 2NZ, UK",15615986,EVENTS AT THE VIEW LTD,active,ltd,2024-04-04,"129 Sheffield Road, Glossop, Derbyshire, United Kingdom, SK13 8QX",,43.5,active
271,Ope,"15 Looe St, Plymouth PL4 0DY, UK",15631645,OPE COVE LTD,active,ltd,2024-04-10,"10 Durham Avenue, Romford, England, RM2 6JS",,43.18181818181818,active
157,Seco Lounge,"12-15, Mills Bakery, Royal William Rd, Stonehouse, Plymouth PL1 3RP, UK",08012043,ABINGWORTH SECOND PARTNER LIMITED,active,ltd,2012-03-29,"1 St. James's Market, London, England, SW1Y 4AH",,32.22222222222222,active
312,Switch & A I R,"2 Sherwell Ln, Plymouth PL4 8LH, UK",03522290,R & B SWITCHGEAR LTD,active,ltd,1998-03-05,"Switchgear House, The Courtyard, Green Lane, Heywood Lancashire, OL10 2EX",,42.333333333333336,active
186,Taco Bell Plymouth,"19 New George St, Plymouth PL1 1QZ, UK",00928917,TACO BELL UK AND EUROPE LIMITED,active,ltd,1968-03-15,"Orion Gate, Guildford Road, Woking, Surrey, GU22 7NJ",,44.375,active
263,The Climbing Hangar Plymouth Café,"Unit 9 Burrington Business Pk, Plymouth PL5 3LX, UK",10496794,THE BRAND HANGAR LIMITED,active,ltd,2016-11-25,"Wellington House 273-275 High Street London Colney, St Albans, Hertfordshire, England, AL2 1HA",,42.142857142857146,active
341,The Gog and Magog - JD Wetherspoon,"57-59 Southside St, Plymouth PL1 2LA, UK",OC372627,GOG MAGOG PARTNERSHIP LLP,active,llp,2012-02-21,"The Power House Gunpowder Mill, Powdermill Lane, Waltham Abbey, Essex, EN9 1BN",,44.62264150943396,active
328,The Skiving Scholar,"1 Tavistock Pl, Plymouth PL4 8AU, UK",15746624,DEAN SKIVINGTON LIMITED,active,ltd,2024-05-28,"Herston Cross House, 230 High Street, Swanage, Dorset, United Kingdom, BH19 2PQ",,46.1764705882353,active
338,The Union Rooms - JD Wetherspoon,"19 Union St, Plymouth PL1 2SU, UK",01709784,J D WETHERSPOON PLC,active,plc,1983-03-25,"Wetherspoon House, Reeds Crescent, Watford, Hertfordshire, WD24 4QL",,48.55555555555556,"partial_name, active"
