restaurant_id,name,cuisine_type,google_formatted_address,google_business_status,google_rating,google_user_ratings_total
21,"ASK Italian Plymouth",Italian,"Unit 4, 11 Bretonside, Plymouth PL4 0FE, UK",OPERATIONAL,4.6,2513
349,"Admiral MacBride",Pub,"1 The Barbican, Plymouth PL1 2LR, UK",OPERATIONAL,4.2,551
86,"All Bar One Plymouth","Bar & Grill","135 Hoe Rd, Plymouth PL1 3DE, UK",OPERATIONAL,4.3,1221
93,"Barburrito Plymouth","Mexican Fast Food","6 Quay Rd, Plymouth PL1 2JZ, UK",CLOSED_PERMANENTLY,4.5,23
88,"Beefeater Plymouth","British Grill","300 Plymouth Rd, Crabtree, Plymouth PL3 6RW, UK",OPERATIONAL,3.9,3151
155,"Bella Italia Plymouth",Italian,"40 Southside St, Plymouth PL1 2LE, UK",OPERATIONAL,4.5,1566
23,"Bill's Plymouth","British Brasserie","Drake Circus Shopping Mall, 1 Charles St, Plymouth PL1 1EA, UK",CLOSED_TEMPORARILY,4.1,561
290,"Black Cat Surf Club","Coffee Shop","31 The Broadway, Plymstock, Plymouth PL9 7AG, UK",OPERATIONAL,4.4,199
361,"Boringdon Arms",Pub,"Boringdon Terrace, Turnchapel, Plymouth PL9 9TQ, UK",OPERATIONAL,4.5,411
318,"Brass Monkey",Pub,"12-14 Royal Parade, Plymouth PL1 1DS, UK",OPERATIONAL,4.1,1867
89,"Brewers Fayre Plymouth","Family Pub & Grill","300 Plymouth Rd, Crabtree, Plymouth PL3 6RW, UK",OPERATIONAL,3.9,3151
47,"Byron Burger Plymouth","American Burgers","116-117 New George St, Plymouth PL1 1RZ, UK",OPERATIONAL,4.8,200
276,"Cafe and Bistro Tio Leo",Restaurant,"17 Bishops Pl, Plymouth PL1 3BW, UK",OPERATIONAL,4.9,73
261,"Café Momus",Restaurant,"14-17 Manor St, Stonehouse, Plymouth PL1 1TL, UK",OPERATIONAL,4.7,79
44,"Café Rouge Plymouth","French Brasserie","Mayflower Dr, Plymouth PL2 3DG, UK",OPERATIONAL,3.0,2
63,"Carluccio's Plymouth",Italian,"41-42 Southside St, Plymouth PL1 2LD, UK",OPERATIONAL,4.5,495
81,"Chiquito Plymouth",Mexican,"Unit 3 Barbican Leisure Park, Plymouth PL4 0LG, UK",CLOSED_PERMANENTLY,4.1,538
62,"Côte Brasserie Plymouth",French,"19-21 Cathedral Yard, City Centre, Exeter EX1 1HB, UK",OPERATIONAL,4.5,1909
65,"Domino's Pizza Plymouth","Pizza Delivery","65-67 Exeter St, Plymouth PL4 0AH, UK",OPERATIONAL,3.2,315
230,Foodie,Restaurant,"72 Cornwall St, Plymouth PL1 1LR, UK",OPERATIONAL,4.8,447
101,"Giggling Squid Plymouth",Thai,"East, Quay House, Marrowbone Slip, Plymouth PL4 0HX, UK",OPERATIONAL,4.7,1138
359,"Golden Hind",Pub,"260 Mannamead Rd, Plymouth PL3 5RJ, UK",OPERATIONAL,4.2,616
57,"Gourmet Burger Kitchen Plymouth","Burger Restaurant","47 Bretonside, Plymouth PL4 0BB, UK",OPERATIONAL,4.9,163
